# (c) 2013-2016, Tomás Oliveira e Silva
#
# See disclaimer in page
#   http://sweet.ua.pt/tos/hobbies.html
#
# Do not bookmark this page, because its URI may change
# in the future. Instead, bookmark its parent page:
#   http://sweet.ua.pt/tos/twin_gaps.html
#
# Count limit --- 1e16
#   g  is the gap between twin prime pairs
# F(g) is the least prime of the first twin prime
#      pair of the first occurrence of a gap of g
# T(g) is the number of times a gap of g occurs
#      with the last prime of the second prime pair
#      of a gap smaller than 1e16
# An * marks a record-holder; g is a record-holder
#      if F(u) > F(g) for all u > g; F(g) is a
#      record-holder if F(u) < F(g) for all u < g
#
# Last update made on August 5, 2013

    g             F(g)           T(g)
 3534        2176255517     935019066
 3540        2061596657    3374726470
 3546         577384721     646677672
 3552         813937349    1361772277
 3558         634996079    1718127412
 3564         743472047     897750958
 3570        1227023657    3916232136
 3576        1616947301     624728978
 3582        1835722907    1651517964
 3588        2437701419    1884033306
 3594        4514485907     645254311
 3600        1427420987    2401118755
 3606        1279979471     774420006
 3612        2345974487    2468280670
 3618         845989169    1229149684
 3624        5728839437     808187843
 3630        2222841821    2237434929
 3636        3980348291     691875977
 3642         894279047    1691381638
 3648        2116650629    1323226834
 3654        1499147267    1176332026
 3660        1248723011    1843335388
 3666        6005133971*    974251018
 3672        2505806057    1461749132
 3678        3312213731    1186635169
 3684        2070221117     791431363
 3690        1457432399    1959775810
 3696         847961111    1197062146
 3702        4860060347    1112583745
 3708        4128827501    1629118197
 3714        1627421597     551874836
 3720        1162645277    2183308506
 3726         818223401     831309278
 3732        1545831827    1061334068
 3738        1917129059    2187025612
 3744        1505777807     630012567
 3750        3355867859    2089736388
 3756        9157772411*    513844790
 3762        1333532399    1524418202
 3768        1458139271    1574508691
 3774        7246515347     665051779
 3780        1039287791    2624877755
 3786        5914496381     578605063
 3792        2027416247    1351700720
 3798        1503224939    1180059378
 3804*        390817727     555854082
 3810        2429573537    2112927067
 3816        3232824401     537705374
 3822        1070039627    1959743162
 3828        1652834969    1307636879
 3834        4180387217     650572300
 3840        2530338521    1631369481
 3846        7232947961     558862566
 3852        1999456337    1497115686
 3858        2253216731     938468401
 3864        5346750047     834618704
 3870        1036385639    1630034621
 3876        2692241831     884761891
 3882        3919728749     901607360
 3888        1495100741     952641936
 3894        5812629677     789969998
 3900        4513145171    1618967611
 3906        3188721581     797359834
 3912        1058283089    1074568046
 3918        4805941199    1336793038
 3924        1240773137     512483600
 3930        5563404881    1310069128
 3936        4280823971     689634470
 3942        3092595047     977453714
 3948        3085764389    1490549583
 3954        5223614447     532220074
 3960        1989732881    2141210882
 3966        6121238741     427340170
 3972        1029693209     830690124
 3978        2735050499    1561226344
 3984        5587668677     472857708
 3990        1694615861    2275543759
 3996       12832565231*    418742117
 4002        1818736217    1591686209
 4008        6309991349     789125136
 4014        5382574907     428327460
 4020        5577777041    1635954986
 4026        2242275491     559564933
 4032        3429850139    1462767861
 4038        3129118961     772451838
 4044        6832248347     565573511
 4050        3013971977    1347259120
 4056        6351060341     459221494
 4062        7612608389    1035915155
 4068        7113746489     958351198
 4074        2673962327     623633887
 4080        2358658607    1408475373
